ID_venta,Sucursal,Fecha,ID_producto,Nombre_producto,Categoría_producto,Precio_unitario,Cantidad_vendida,Monto_total,ID_empleado,Nombre_empleado,Evaluación_atención,Descuento,Ubicación_cliente,Ciudad,Método_pago,Hora_venta
V2000,Sucursal 2,2023-01-17,1,Cargador inalambrico,Accesorios,80.0,9,360.0,E3,Carlos Perez,5,15,Zona 1,Ambato,PayPal,Noche
V2001,Sucursal 2,2023-01-11,4,Tablet,Electronica,300.0,5,600.0,E3,Pedro Gomez,1,10,Zona 3,Guayaquil,Tarjeta de debito,Noche
V2002,Sucursal 2,2023-02-23,4,Zapatos deportivos,Accesorios,120.0,3,200.0,E1,Carlos Perez,3,10,Zona 3,Loja,PayPal,Mañana
V2003,Sucursal 2,2023-01-20,10,Cargador inalambrico,Ropa,80.0,6,2400.0,E1,Carlos Perez,4,5,Zona 2,Quito,Tarjeta de debito,Mañana
V2004,Sucursal 2,2023-03-27,9,Camiseta,Ropa,250.0,7,60.0,E2,Carlos Perez,1,20,Zona 1,Ambato,Transferencia,Noche
V2005,Sucursal 2,2023-02-08,7,Chaqueta de cuero,Accesorios,30.0,5,600.0,E5,Jose Lopez,5,5,Zona 2,Ambato,Transferencia,Noche
V2006,Sucursal 2,2023-01-17,7,Bicicleta,Electronica,500.0,4,1000.0,E1,Ana Garcia,5,5,Zona 1,Ambato,Efectivo,Noche
V2007,Sucursal 2,2023-01-21,10,Smartphone,Accesorios,30.0,8,1200.0,E2,Jose Lopez,3,20,Zona 3,Quito,Efectivo,Mañana
V2008,Sucursal 2,2023-02-19,5,Auriculares Bluetooth,Ropa,40.0,9,2000.0,E1,Jose Lopez,5,20,Zona 1,Cuenca,Tarjeta de credito,Mañana
V2009,Sucursal 2,2023-02-27,4,Reloj,Calzado,150.0,5,320.0,E4,Lucia Martinez,4,0,Zona 1,Loja,PayPal,Noche
V2010,Sucursal 2,2023-01-09,4,Pantalones,Accesorios,80.0,1,175.0,E3,Carlos Perez,1,10,Zona 1,Cuenca,Tarjeta de credito,Noche
V2011,Sucursal 2,2023-03-31,5,Tablet,Electronica,150.0,4,480.0,E4,Ana Garcia,1,0,Zona 1,Loja,PayPal,Mañana
V2012,Sucursal 2,2023-01-03,1,Cargador inalambrico,Electronica,500.0,3,1500.0,E2,Pedro Gomez,5,15,Zona 2,Loja,PayPal,Mañana
V2013,Sucursal 2,2023-01-16,5,Chaqueta de cuero,Ropa,300.0,2,1200.0,E3,Lucia Martinez,5,5,Zona 2,Loja,Tarjeta de credito,Noche
V2014,Sucursal 2,2023-01-17,10,Smartphone,Accesorios,300.0,5,280.0,E1,Ana Garcia,3,15,Zona 3,Cuenca,Tarjeta de credito,Mañana
V2015,Sucursal 2,2023-01-11,9,Bicicleta,Calzado,40.0,4,50.0,E2,Lucia Martinez,5,15,Zona 1,Loja,Tarjeta de debito,Tarde
V2016,Sucursal 2,2023-02-06,10,Auriculares Bluetooth,Electronica,250.0,3,40.0,E2,Carlos Perez,4,0,Zona 1,Ambato,PayPal,Mañana
V2017,Sucursal 2,2023-02-01,5,Tablet,Calzado,500.0,10,1750.0,E1,Ana Garcia,2,10,Zona 2,Quito,PayPal,Mañana
V2018,Sucursal 2,2023-03-31,3,Cargador inalambrico,Calzado,80.0,6,90.0,E2,Carlos Perez,3,10,Zona 2,Cuenca,Efectivo,Tarde
V2019,Sucursal 2,2023-03-17,6,Camiseta,Electronica,500.0,1,1750.0,E4,Jose Lopez,2,5,Zona 1,Guayaquil,Tarjeta de credito,Noche
V2020,Sucursal 2,2023-01-01,7,Camiseta,Electronica,80.0,9,180.0,E4,Ana Garcia,5,5,Zona 3,Loja,Efectivo,Noche
V2021,Sucursal 2,2023-01-14,1,Pantalones,Ropa,25.0,10,600.0,E1,Ana Garcia,4,15,Zona 1,Cuenca,PayPal,Mañana
V2022,Sucursal 2,2023-03-11,10,Chaqueta de cuero,Ropa,300.0,8,50.0,E2,Jose Lopez,3,15,Zona 3,Guayaquil,PayPal,Noche
V2023,Sucursal 2,2023-01-22,1,Bicicleta,Ropa,60.0,3,250.0,E4,Pedro Gomez,1,5,Zona 3,Quito,Tarjeta de credito,Tarde
V2024,Sucursal 2,2023-03-03,3,Camiseta,Accesorios,250.0,5,360.0,E3,Ana Garcia,1,0,Zona 3,Loja,Transferencia,Noche
V2025,Sucursal 2,2023-03-23,4,Cargador inalambrico,Electronica,150.0,2,500.0,E5,Ana Garcia,5,10,Zona 1,Cuenca,Tarjeta de credito,Tarde
V2026,Sucursal 2,2023-01-21,7,Chaqueta de cuero,Electronica,150.0,10,120.0,E2,Lucia Martinez,3,0,Zona 3,Quito,Efectivo,Noche
V2027,Sucursal 2,2023-01-10,4,Reloj,Electronica,60.0,9,640.0,E2,Carlos Perez,4,20,Zona 3,Quito,Tarjeta de credito,Noche
V2028,Sucursal 2,2023-01-30,6,Bicicleta,Accesorios,250.0,3,1800.0,E4,Lucia Martinez,2,5,Zona 3,Quito,PayPal,Mañana
V2029,Sucursal 2,2023-01-07,7,Bicicleta,Ropa,40.0,5,320.0,E2,Jose Lopez,3,5,Zona 3,Guayaquil,Tarjeta de credito,Mañana
V2030,Sucursal 2,2023-01-11,4,Tablet,Electronica,80.0,3,150.0,E4,Lucia Martinez,3,20,Zona 1,Cuenca,Transferencia,Tarde
V2031,Sucursal 2,2023-01-12,9,Chaqueta de cuero,Calzado,40.0,10,180.0,E3,Carlos Perez,4,5,Zona 1,Guayaquil,Tarjeta de credito,Noche
V2032,Sucursal 2,2023-02-28,3,Zapatos deportivos,Ropa,80.0,4,60.0,E2,Jose Lopez,3,10,Zona 1,Loja,PayPal,Tarde
V2033,Sucursal 2,2023-03-10,2,Chaqueta de cuero,Electronica,500.0,9,30.0,E2,Carlos Perez,3,20,Zona 3,Guayaquil,Transferencia,Mañana
V2034,Sucursal 2,2023-01-13,8,Cargador inalambrico,Electronica,25.0,5,640.0,E4,Carlos Perez,1,15,Zona 3,Ambato,Efectivo,Noche
V2035,Sucursal 2,2023-01-01,2,Pantalones,Accesorios,250.0,7,2500.0,E5,Jose Lopez,1,15,Zona 2,Cuenca,Transferencia,Noche
V2036,Sucursal 2,2023-01-20,6,Bicicleta,Calzado,80.0,3,720.0,E5,Carlos Perez,5,20,Zona 2,Loja,Tarjeta de credito,Noche
V2037,Sucursal 2,2023-03-10,7,Bicicleta,Electronica,25.0,8,640.0,E1,Lucia Martinez,1,20,Zona 1,Loja,Tarjeta de debito,Tarde
V2038,Sucursal 2,2023-02-28,3,Auriculares Bluetooth,Ropa,120.0,10,360.0,E4,Carlos Perez,3,10,Zona 3,Cuenca,Tarjeta de debito,Noche
V2039,Sucursal 2,2023-02-01,7,Chaqueta de cuero,Ropa,60.0,5,900.0,E2,Carlos Perez,5,20,Zona 2,Loja,Tarjeta de credito,Noche
V2040,Sucursal 2,2023-03-25,6,Chaqueta de cuero,Electronica,30.0,8,3500.0,E3,Lucia Martinez,1,15,Zona 1,Quito,Transferencia,Tarde
V2041,Sucursal 2,2023-02-26,3,Chaqueta de cuero,Electronica,80.0,7,2700.0,E5,Carlos Perez,5,5,Zona 3,Loja,PayPal,Noche
V2042,Sucursal 2,2023-03-02,1,Auriculares Bluetooth,Calzado,120.0,9,2000.0,E5,Jose Lopez,1,20,Zona 2,Ambato,Efectivo,Noche
V2043,Sucursal 2,2023-03-29,3,Bicicleta,Ropa,300.0,9,75.0,E1,Jose Lopez,4,0,Zona 1,Quito,Transferencia,Mañana
