id_linea,fecha,dia_semana_num,serie,numero_factura,codigo_cliente,nombre_cliente,codigo_vendedor,nombre_vendedor,codigo_producto,nombre_producto,categoria_codigo,cantidad,precio_unitario,pct_descuento_linea,total_linea,tiene_descuento_linea,codigo_bodega,nombre_bodega,sucursal_id,sucursal_nombre,estado_sync,etiqueta_color_ruta
1091,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-25,"TUBO ENDOTRAQUEAL Murphy, sin balon, 2.5 mm",18,"10,00000006","1,44000000","0,00000000","14,40000010",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,AZUL
1092,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-30,"TUBO ENDOTRAQUEAL Murphy, sin balon, 3.0 mm",18,"59,99999976","1,44000000","0,00000000","86,40000026",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,ROJO
1093,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-35,"TUBO ENDOTRAQUEAL Murphy, sin balon, 3.5 mm",18,"79,99999976","1,43999999","0,00000000","115,20000046",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,VERDE
1094,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-40,"TUBO ENDOTRAQUEAL Murphy, sin balon, 4.0 mm",18,"40,00000004","1,43999999","0,00000000","57,60000017",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,AMARILLO
1095,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-45,"TUBO ENDOTRAQUEAL Murphy, sin balon, 4.5 mm",18,"10,00000006","1,43999999","0,00000000","14,39999999",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,NARANJA
1096,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-45,"TUBO ENDOTRAQUEAL Murphy, sin balon, 4.5 mm",18,"9,99999995","1,44000000","0,00000000","14,40000006",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,VIOLETA
1097,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-45,"TUBO ENDOTRAQUEAL Murphy, sin balon, 4.5 mm",18,"10,00000008","1,44000001","0,00000000","14,40000009",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,GRIS
1098,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,100382-55,"TUBO ENDOTRAQUEAL Murphy, sin balon, 5.5 mm",18,"10,00000005","1,44000001","0,00000000","14,40000004",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,AZUL
1099,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,112482-40,"TUBO ENDOTRAQUEAL Murphy, con balon, 4.0 mm",18,"19,99999990","1,63000001","0,00000000","32,60000007",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,ROJO
1100,15/02/2018 9:16:46,5,1,4636,155,Clínica especializada Zonal II (ref. 908),1,Representante S,112482-40,"TUBO ENDOTRAQUEAL Murphy, con balon, 4.0 mm",18,"19,99999988","1,63000000","0,00000000","32,59999990",0,102,BCHRG - Consignación Hospital Roberto Gilbert,2,GUAYAQUIL CERRADO,0,VERDE
